카테고리,메뉴명,영문명,설명,태그,베이스,토핑,추천/기본 드레싱,곡물 구성,채소 구성,제공량(g),열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg),알레르기 목록,알레르기_달걀,알레르기_우유,알레르기_메밀,알레르기_땅콩,알레르기_대두,알레르기_밀,알레르기_잣,알레르기_호두,알레르기_게,알레르기_새우,알레르기_오징어,알레르기_고등어,"알레르기_조개류 (굴, 전복, 홍합포함)",알레르기_복숭아,알레르기_토마토,알레르기_닭고기,알레르기_돼지 고기,알레르기_소고기,알레르기_아황산류 (10mg/kg 이상함유),상세페이지 출처,영양정보 병합출처,알레르기 병합출처,비고
샌드위치,[프로틴]바질크림 치킨 샌드위치,[Protein]Basil Cream Chicken,쫄깃한 통밀 치아바타 속 풍미 가득한 바질크림과 촉촉한 시즈닝 닭가슴살이 어우러져 든든한 치킨 프로틴 치아바타 샌드위치,,채소,"시즈닝 닭가슴살, 토마토, 당근라페, 화이트치즈",바질페스토,,"로메인, 적채",,442.8,53.6,7.1,23.9,14.2,3.1,774.2,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/view_1?idx=155&ca_id=05,,,2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음
샌드위치,[프로틴]치킨 반미 샌드위치,[Protein]Chicken Banh mi,"쫄깃한 통밀 치아바타 속 촉촉한 시즈닝 닭가슴살과 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치킨 프로틴 치아바타 샌드위치",,채소,"시즈닝 닭가슴살, 양파, 적채, 당근라페, 화이트치즈, 채소믹스, 통밀 치아바타",크리미칠리,,"로메인, 프릴아이스, 적채",,484.0,60.5,11.7,22.8,16.9,3.4,853.8,,,,,,,,,,,,,,,,,,,,,https://salady.com/menu/list_1,,,2026.07 알레르기 자료에 동일 메뉴 없음 | 2026.07 영양정보 자료에 동일 메뉴 없음
샌드위치,스파이시 쉬림프 샌드위치,Spicy Shrimp Sandwich,쫄깃한 치아바타 속 탱글탱글한 케이준 쉬림프와 알싸한 할라피뇨에 매콤달콤한 크리미칠리 드레싱이 어우러진 스파이시 쉬림프 치아바타 샌드위치,,채소,"케이준 쉬림프, 할라피뇨, 토마토, 슈레드치즈, 화이트치즈",크리미칠리,,"로메인, 프릴아이스, 적채",254,463.7,55.4,8.7,18.7,18.5,4.4,1176.4,"달걀, 우유, 대두, 밀, 새우, 토마토, 소고기",●,●,,,●,●,,,,●,,,,,●,,,●,,https://salady.com/menu/list_1,SALADY / 스파이시쉬림프샌드위치 / nutrition_260715,SALADY / 스파이시쉬림프샌드위치 / allergy_260715,최신 상세페이지와 2026.07 영양값 상이: 단백질(g) 18.7↔18.4
샌드위치,불고기 반미 샌드위치,Bulgogi Banh mi Sandwich,"쫄깃한 치아바타 속 단짠 불고기와 상큼하고 아삭한 당근라페, 적채, 양파가 어우러진 반미 스타일의 치아바타 샌드위치",BEST,채소,"우삼겹, 양파, 적채, 당근라페, 화이트치즈",크리미칠리,,"로메인, 프릴아이스, 적채",254,578.7,61.3,14.1,18.7,28.9,8.1,899.0,"달걀, 우유, 대두, 밀, 조개류 (굴, 전복, 홍합포함), 소고기",●,●,,,●,●,,,,,,,●,,,,,●,,https://salady.com/menu/list_1,SALADY / 불고기반미샌드위치 / nutrition_260715,SALADY / 불고기반미샌드위치 / allergy_260715,
샌드위치,BELT 시저 샌드위치,BELT Caesar Sandwich,쫄깃한 치아바타 속 짭조름한 베이컨과 부드러운 에그에 시저 드레싱의 감칠맛이 더해진 치아바타 샌드위치,,채소,"베이컨, 에그, 토마토, 슈레드치즈, 화이트치즈",시저,,"로메인, 프릴아이스, 적채",254,570.3,52.5,6.3,21.6,29.7,8.2,874.4,"달걀, 우유, 대두, 밀, 토마토, 돼지 고기, 아황산류 (10mg/kg 이상함유)",●,●,,,●,●,,,,,,,,,●,,●,,●,https://salady.com/menu/list_1,SALADY / BELT 시저샌드위치 / nutrition_260715,SALADY / BELT 시저샌드위치 / allergy_260715,
샌드위치,[프로틴]프레시 잠봉 샌드위치,[Protein]Fresh Jambon,쫄깃한 통밀 치아바타 속 신선한 잠봉과 토마토에 더블 치즈 풍미가 가득한 잠봉 프로틴 치아바타 샌드위치,,채소,"잠봉, 양파, 토마토, 슈레드치즈, 화이트치즈",크리미할라피뇨,,"로메인, 프릴아이스, 적채",241,493.3,54.2,8.5,20.0,21.7,5.2,1135.5,"달걀, 우유, 대두, 밀, 토마토, 돼지 고기",●,●,,,●,●,,,,,,,,,●,,●,,,https://salady.com/menu/list_1,SALADY & SANDWICH (대상매장) / 프레시잠봉샌드위치 / nutrition_260715,SALADY & SANDWICH / 프레시잠봉샌드위치 / allergy_260715,"최신 상세페이지와 2026.07 영양값 상이: 열량(kcal) 493.3↔491.2, 탄수화물(g) 54.2↔53.9, 당류(g) 8.5↔8.4, 단백질(g) 20↔19.8, 지방(g) 21.7↔21.6, 나트륨(mg) 1135.5↔1133.9"
샌드위치,클래식 치킨 샌드위치,Classic Chicken Sandwich,"쫄깃한 통밀 치아바타 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈의 풍미가 어우러진 치아바타 샌드위치",BEST,채소,"시즈닝 닭가슴살, 크랜베리, 토마토, 화이트치즈",시저,,"로메인, 프릴아이스, 적채",214,469.0,60.8,13.3,17.3,17.8,3.4,733.8,"달걀, 우유, 대두, 밀, 토마토, 닭고기, 아황산류 (10mg/kg 이상함유)",●,●,,,●,●,,,,,,,,,●,●,,,●,https://salady.com/menu/list_1,SALADY / 클래식치킨샌드위치 / nutrition_260715,SALADY / 클래식치킨샌드위치 / allergy_260715,
샌드위치,[프로틴]비프에그마요 샌드위치,[Protein]Beef Egg Mayo Sandwich,쫄깃한 통밀 치아바타 속 단짠 우삼겹과 고소하고 부드러운 에그마요가 어우러진 우삼겹 프로틴 치아바타 샌드위치,,*채소 미포함,"우삼겹, 슈레드치즈, 에그마요, 옥수수, 당근라페, 화이트치즈",허니머스타드,,"로메인, 프릴아이스, 적채",275,712.6,64.9,15.1,25.5,38.6,11.2,1047.3,"달걀, 우유, 대두, 밀, 조개류 (굴, 전복, 홍합포함), 소고기",●,●,,,●,●,,,,,,,●,,,,,●,,https://salady.com/menu/list_1,SALADY / 비프에그마요샌드위치 / nutrition_260715,SALADY / 비프에그마요샌드위치 / allergy_260715,"베이스에는 '*채소 미포함'으로 표기되지만 상세설명에는 채소 구성(로메인, 프릴아이스, 적채)이 함께 표시됨."
샌드위치,[프로틴]바질 레몬연어 샌드위치,[Protein]Basil Lemon Salmon,쫄깃한 통밀 치아바타 속 바질 풍미가 가득한 연어와 달콤한 스윗포테이토가 어우러진 연어 프로틴 치아바타 샌드위치,,채소,"그라브락스연어, 당근라페, 스윗포테이토, 옥수수, 화이트치즈",바질페스토,,"로메인, 프릴아이스, 적채",289,576.5,71.0,17.0,20.8,22.7,4.0,1023.0,"달걀, 우유, 대두, 밀, 고등어",●,●,,,●,●,,,,,,●,,,,,,,,https://salady.com/menu/list_1,SALADY & SANDWICH (대상매장) / 바질레몬연어샌드위치 / nutrition_260715,SALADY & SANDWICH / 바질레몬연어샌드위치 / allergy_260715,"최신 상세페이지와 2026.07 영양값 상이: 열량(kcal) 576.5↔574.4, 탄수화물(g) 71↔70.7, 당류(g) 17↔16.9, 단백질(g) 20.8↔20.6, 지방(g) 22.7↔22.6, 나트륨(mg) 1023↔1021.5"
곡물랩,칠리베이컨 곡물랩,Chilli Bacon Grain Wrap,"또띠아 속 베이컨, 에그, 옥수수의 고소하고 톡톡 터지는 식감과 매콤달콤한 소스 조합이 입맛을 돋우고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",BEST,"곡물, 채소","에그, 칩베이컨, 옥수수, 양파플레이크",크리미칠리,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",305,730.4,75.5,12.9,21.5,37.6,10.9,1067.1,"달걀, 우유, 대두, 밀, 돼지 고기",●,●,,,●,●,,,,,,,,,,,●,,,https://salady.com/menu/view_1?idx=57&ca_id=0502,SALADY / 칠리베이컨곡물랩 / nutrition_260715,SALADY / 칠리베이컨곡물랩 / allergy_260715,
곡물랩,고소우삼겹 곡물랩,Perilla Oil Beef Loin Grain Wrap,"또띠아 속 감칠맛과 풍미 가득한 저당 들기름소이 소스로 양념한 우삼겹과 견과류로 한 층 더 고소함을 살리고, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",LOW SUGAR,"곡물, 채소","우삼겹, 양파, 견과류, 적채",(저당) 들기름소이,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",305,704.7,79.1,6.5,24.0,32.5,9.3,1089.8,"우유, 대두, 밀, 호두, 조개류 (굴, 전복, 홍합포함), 소고기",,●,,,●,●,,●,,,,,●,,,,,●,,https://salady.com/menu/view_1?idx=58&ca_id=0502,SALADY / 고소우삼겹곡물랩 / nutrition_260715,SALADY / 고소우삼겹곡물랩 / allergy_260715,
곡물랩,바베큐닭다리살 곡물랩,Barbecue Chicken Thigh Grain Wrap,"또띠아 속 촉촉하고 쫄깃한 닭다리살, 매콤달콤 바베큐소스로 중독성 강한 조합에, 통곡물이 만나 더욱 든든하게 즐기는 랩 샌드위치",,"곡물, 채소","로스트닭다리살, 적채, 옥수수, 슈레드치즈, 토마토, 바베큐소스",크리미할라피뇨,"귀리, 찹쌀, 찰보리","로메인, 프릴아이스, 적채",340,717.3,76.8,13.5,26.1,34.0,9.7,1288.1,"달걀, 우유, 대두, 밀, 토마토, 닭고기, 소고기",●,●,,,●,●,,,,,,,,,●,●,,●,,https://salady.com/menu/view_1?idx=59&ca_id=0502,SALADY / 바베큐닭다리살곡물랩 / nutrition_260715,SALADY / 바베큐닭다리살곡물랩 / allergy_260715,공식 상세페이지에는 드레싱이 '크리 할라피뇨'로 표기되어 있어 기존 공식 메뉴명 '크리미할라피뇨'로 정규화
랩,멕시칸 랩,Mexican Wrap,"또띠아 속 매콤달콤한 크리미칠리 드레싱과 그라운드비프, 나쵸 토핑이 어우러진 샐러디 스테디 랩 샌드위치",BEST,채소,"그라운드비프, 나쵸칩, 사워크림",크리미칠리,,"로메인, 프릴아이스, 적채",234,607.4,52.5,10.9,19.4,35.1,9.9,931.2,"달걀, 우유, 대두, 밀, 돼지 고기, 소고기",●,●,,,●,●,,,,,,,,,,,●,●,,https://salady.com/menu/view_1?idx=53&ca_id=0501,SALADY / 멕시칸랩 / nutrition_260715,SALADY / 멕시칸랩 / allergy_260715,
랩,그라브락스 연어 랩,Gravlax Salmon Wrap,북유럽 전통 방식으로 숙성시켜 풍미와 쫄깃함이 가득한 그라브락스 연어와 양파 등 토핑과 산뜻한 크리미할라피뇨 드레싱이 어우러진 랩 샌드위치,,채소,"그라브락스 연어, 양파, 토마토",크리미할라피뇨,,"로메인, 프릴아이스, 적채",244,475.4,40.0,8.9,17.6,27.6,6.1,1014.2,"우유, 대두, 밀, 토마토",,●,,,●,●,,,,,,,,,●,,,,,https://salady.com/menu/view_1?idx=132&ca_id=0501,SALADY / 그라브락스연어랩 / nutrition_260715,SALADY / 그라브락스연어랩 / allergy_260715,
랩,시저치킨 랩,Caesar Chicken Wrap,"또띠아 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈풍미의 시저드레싱이 어우러진 랩 샌드위치",,채소,"시즈닝 닭가슴살, 크랜베리",시저,,"로메인, 프릴아이스, 적채",229,500.9,46.2,12.4,21.8,25.7,6.3,877.4,"달걀, 우유, 대두, 밀, 닭고기, 아황산류 (10mg/kg 이상함유)",●,●,,,●,●,,,,,,,,,,●,,,●,https://salady.com/menu/view_1?idx=54&ca_id=0501,SALADY / 시저치킨랩 / nutrition_260715,SALADY / 시저치킨랩 / allergy_260715,
