카테고리,메뉴,설명,가격,이미지 링크
올데이 세트,청양 간장 두부 비빔밥 세트,"청양간장 두부 비빔밥 + 카사바칩 + 코크제로
노릇하게 익혀 고소한 두부와 알싸한 청양간장 드레싱에 머쉬룸, 당근라페, 적채 등의 토핑을 더한 캐쥬얼 한식풍 비빔밥(*드레싱 미제공, 포함 드레싱: 청양간장)",11700,https://naverbooking-phinf.pstatic.net/20260727_12/17851106114731NSBo_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,바베큐닭다리살 포케볼 세트,"바베큐닭다리살 포케볼 + 카사바칩 + 코크제로
촉촉하고 쫄깃한 닭다리살에 고소한 계란과 매콤달콤한 바베큐소스를 곁들인 중독성 강한 조합! 통곡물, 적채, 후리가케 등 포케 토핑으로 풍성한 맛을 더한 치밥 스타일의 메뉴(추천 드레싱 : (저당) 스리라차소이 / 로스트닭다리살, 에그, 옥수수, 양파, 양파플레이크, 후리가케, 적채, 바베큐소스, 채소믹스, 곡물밥",12400,https://naverbooking-phinf.pstatic.net/20260204_215/17701882179120U5d8_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%C6%F7%C4%C9%BA%BC_%B9%D9%BA%A3%C5%A5%B4%DF%B4%D9%B8%AE%BB%EC.png?type=f220_220_60_sharpen
올데이 세트,그라브락스 연어 포케볼 세트,"그라브락스 연어 포케볼 세트 + 카사바칩 + 코크제로
북유럽 전통 방식으로 숙성시켜 깊은 풍미와 쫄깃함이 가득한 그라브락스 연어와 통곡물, 후리가케 등 포케 토핑이 어우러져 더욱 풍성하게 완성한 샐러디 대표 포케 메뉴 (추천 드레싱: (저당) 참깨소이) / 그라브락스 연어, 양파플레이크, 양파, 적채, 후리가케, 옥수수, 올리브, 채소믹스, 곡물밥 + 카사바칩 + 코크제로",13900,https://naverbooking-phinf.pstatic.net/20260204_242/1770188034747rx9tp_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%C6%F7%C4%C9%BA%BC_%B1%D7%B6%F3%BA%EA%B6%F4%BD%BA%BF%AC%BE%EE.png?type=f220_220_60_sharpen
올데이 세트,고추장 제육 포케볼 세트,"고추장제육 포케볼+ 카사바칩 + 코크제로
제육은 못 참지! 매콤한 고추장제육에 머쉬룸, 양파플레이크, 적채, 후리가케 등의 토핑이 어우러져 든든한 제육 비빔밥st의 포케 (추천 드레싱: 고추장비빔)",12400,https://naverbooking-phinf.pstatic.net/20260727_65/1785110630575zPGQq_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,닭다리살 MAX 프로틴 박스 세트,"닭다리살 MAX 프로틴 박스 세트 + 카사바칩 + 코크제로
3배 더 풍성하게 올린 촉촉하고 쫄깃한 닭다리살에 1.5배 든든한 곡물밥과 매콤한 저당 스리라차소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락 (추천 드레싱 : (저당) 스리라차소이 *추천 드레싱을 일반 드레싱으로 변경 시 저당 X",15400,https://naverbooking-phinf.pstatic.net/20260727_91/1785110657918hL0Py_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,치킨 MAX 프로틴 파스타 세트,"치킨 MAX 프로틴 파스타 + 카사바칩 + 코크제로
3배 가득 풍성하게 올린 부드러운 시즈닝 닭가슴살에 2배 든든한 바질파스타와 상큼한 저당 레몬 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락 (추천 드레싱: (저당) 레몬허브)  *추천 드레싱을 일반 드레싱으로 변경 시 저당 X",15400,https://naverbooking-phinf.pstatic.net/20260727_226/1785110644489Th5Sc_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,우삼겹 MAX 프로틴 박스 세트,"우삼겹 MAX 프로틴 박스 + 카사바칩 + 코크제로
3배 가득 풍성하게 올린 단짠 우삼겹에 1.5배 든든한 곡물밥과 고소한 저당 참깨소이 드레싱을 페어링하여 제대로 설계한 샐러디의 MAX 프로틴 도시락(추천 드레싱: (저당) 참깨소이) / 우삼겹x3, 당근라페, 양파, 옥수수, 채소믹스, 곡물밥x1.5",15400,https://naverbooking-phinf.pstatic.net/20260727_76/1785110668942U2xOI_PNG/image.png?type=f220_220_60_sharpen
올데이 세트,에그마요 랩 세트,"에그마요 랩 + 카사바칩 + 코크제로
또띠아 속 고소하고 부드러운 에그마요와 톡톡 터지는 옥수수, 바삭한 나쵸가 토핑된 스낵 스타일의 랩 샌드위치 (포함 드레싱: 크리미할라피뇨/ *채소믹스 미포함) / 에그마요, 옥수수, 베이컨, 나쵸칩 (*채소믹스 미포함) + 카사바칩 + 코크제로",8000,https://naverbooking-phinf.pstatic.net/20260204_184/1770183535589mB8tm_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%BF%A1%B1%D7%B8%B6%BF%E4.png?type=f220_220_60_sharpen
올데이 세트,멕시칸 랩 세트,"멕시칸 랩+카사바칩+코크제로
또띠아 속 매콤달콤한 크리미칠리 드레싱과 그라운드비프, 나쵸 토핑이 어우러진 샐러디 스테디 랩 샌드위치(포함 드레싱:크리미칠리) / 그라운드비프, 나쵸칩, 사워크림, 채소믹스",9700,https://naverbooking-phinf.pstatic.net/20260204_243/1770189194136FNkVH_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%B8%DF%BD%C3%C4%AD%B7%A6.png?type=f220_220_60_sharpen
올데이 세트,시저치킨 랩 세트,"시저치킨 랩 + 카사바칩 + 코크제로
또띠아 속 부드러운 시즈닝 닭가슴살과 상큼한 크랜베리, 치즈풍미의 시저드레싱이 어우러진 랩 샌드위치 (포함 드레싱: 시저)",9700,https://naverbooking-phinf.pstatic.net/20260204_235/1770189240321SPnhB_PNG/%C5%B0%BF%C0%BD%BA%C5%A9_%BF%C3%B5%A5%C0%CC_%B7%A6_%BD%C3%C0%FA%C4%A1%C5%B2.png?type=f220_220_60_sharpen
