적용범위,구분,메뉴명,달걀,우유,메밀,땅콩,대두,밀,잣,호두,게,새우,오징어,고등어,"조개류 (굴, 전복, 홍합포함)",복숭아,토마토,닭고기,돼지 고기,소고기,아황산류 (10mg/kg 이상함유)
SALADY & SANDWICH,SALADY,로스트닭다리살샐러디,●,●,,,●,●,,,,,,●,,,●,●,,●,
SALADY & SANDWICH,SALADY,프루티가든샐러디,,,,,,,,●,,,,,,,●,,,,●
SALADY & SANDWICH,SALADY,그라브락스연어샐러디,●,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,SALADY,타코쉬림프샐러디,,●,,,●,,,,,●,,,,,,,●,●,
SALADY & SANDWICH,DAILY BOWL,우삼겹메밀면누들볼,●,,●,,●,●,,●,,,,,●,,,,,●,
SALADY & SANDWICH,DAILY BOWL,고소삼겹들기름파스타누들볼,,,,,●,●,,,,,,,,,,,●,,
SALADY & SANDWICH,DAILY BOWL,칠리베이컨포케볼,●,,,,●,●,,,,,,,,,,,●,,
SALADY & SANDWICH,DAILY BOWL,우삼겹포케볼,,,,,●,●,,●,,,,,●,,,,,●,
SALADY & SANDWICH,DAILY BOWL,노릇노릇두부포케볼,,,,,●,,,●,,,,,,,,,,,
SALADY & SANDWICH,DAILY BOWL,그라브락스연어포케볼,,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,DAILY BOWL,바베큐닭다리살포케볼,●,●,,,●,●,,,,,,,,,,●,,●,
SALADY & SANDWICH,DAILY BOWL,로스트닭다리살마덮요밥,●,●,,,●,●,,,,,,,●,,,●,,●,●
SALADY & SANDWICH,DAILY BOWL,바베큐삼겹덮밥,●,●,,,●,●,,,,,,,●,,,●,●,●,
SALADY & SANDWICH,PROTEIN BOX,닭다리살MAX 프로틴박스,,●,,,●,●,,,,,,,,,,●,,●,
SALADY & SANDWICH,PROTEIN BOX,치킨MAX 프로틴파스타,,●,,,●,●,,,,,,,,,,●,●,,
SALADY & SANDWICH,PROTEIN BOX,우삼겹MAX 프로틴박스,,,,,●,●,,,,,,,●,,,,,●,
SALADY & SANDWICH,PROMOTION MENU,[우창윤픽] 포만호르몬에그샐러디,●,●,,,●,,,●,,●,,,,,●,,,●,
SALADY & SANDWICH,PROMOTION MENU,[우창윤픽] 포만호르몬에그,●,,,,●,,,,,,,,,,,,,●,
SALADY & SANDWICH,WRAP,에그마요랩,●,●,,,●,●,,,,,,,●,,,,●,,
SALADY & SANDWICH,WRAP,멕시칸랩,●,●,,,●,●,,,,,,,,,,,●,●,
SALADY & SANDWICH,WRAP,로스트닭다리살랩,,●,,,●,●,,,,,,,,,●,●,,●,
SALADY & SANDWICH,WRAP,시저치킨랩,●,●,,,●,●,,,,,,,,,,●,,,●
SALADY & SANDWICH,WRAP,그라브락스연어랩,,●,,,●,●,,,,,,,,,●,,,,
SALADY & SANDWICH,WRAP,칠리베이컨곡물랩,●,●,,,●,●,,,,,,,,,,,●,,
SALADY & SANDWICH,WRAP,고소우삼겹곡물랩,,●,,,●,●,,●,,,,,●,,,,,●,
SALADY & SANDWICH,WRAP,타코쉬림프랩,●,●,,,●,●,,,,●,,,,,●,,,●,
SALADY & SANDWICH,SANDWICH,클래식치킨샌드위치,●,●,,,●,●,,,,,,,,,●,●,,,●
SALADY & SANDWICH,SANDWICH,비프에그마요샌드위치,●,●,,,●,●,,,,,,,●,,,,,●,
SALADY & SANDWICH,SANDWICH,바질레몬연어샌드위치,●,●,,,●,●,,,,,,●,,,,,,,
SALADY & SANDWICH,SANDWICH,BELT 시저샌드위치,●,●,,,●,●,,,,,,,,,●,,●,,●
SALADY & SANDWICH,SANDWICH,프레시잠봉샌드위치,●,●,,,●,●,,,,,,,,,●,,●,,
SALADY & SANDWICH,SANDWICH,더블에그마요샌드위치,●,●,,,●,●,,,,,,,●,,,,,,
SALADY & SANDWICH,SANDWICH,바질카프레제샌드위치,●,●,,,●,●,,,,,,,,,●,,,,●
SALADY & SANDWICH,SANDWICH,불고기반미샌드위치,●,●,,,●,●,,,,,,,●,,,,,●,
SALADY & SANDWICH,SANDWICH,하와이안잠봉샌드위치,●,●,,,●,●,,,,,,,,,,,●,,
SALADY & SANDWICH,SANDWICH,멜팅치즈치킨샌드위치,●,●,,,●,●,,,,,,,,,,●,●,,●
SALADY & SANDWICH,SANDWICH,이탈리안피자샌드위치,●,●,,,●,●,,,,,,,,,●,,●,,●
SALADY & SANDWICH,SANDWICH,스파이시쉬림프샌드위치,●,●,,,●,●,,,,●,,,,,●,,,●,
SALADY & SANDWICH,SANDWICH,멜팅치즈핫쉬림프샌드위치,●,●,,,●,●,,,,●,,,,,,,,●,
SALADY & SANDWICH,ON BREAD,베이컨스크램블온브레드,●,●,,,●,●,,,,,,,●,,,,●,,
SALADY & SANDWICH,ON BREAD,치즈스크램블온브레드,●,●,,,●,●,,,,,,,●,,,,,,
SALADY & SANDWICH,DRESSING,크리미칠리,●,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,크리미할라피뇨,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,오리엔탈,●,,,,●,●,,,,,,,●,,,,,●,
SALADY & SANDWICH,DRESSING,시저,●,●,,,●,,,,,,,,,,,,,,●
SALADY & SANDWICH,DRESSING,(저당) 랜치,●,●,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,(저당) 참깨소이,●,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,(저당) 스리라차소이,,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,(저당) 들기름소이,,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,DRESSING,허니머스타드,●,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,SIDE,양송이크림스프,,●,,,●,●,,,,,,,,,,●,,,
SALADY & SANDWICH,SIDE,단호박크림스프,,●,,,,,,,,,,,,,,,,,
SALADY & SANDWICH,SIDE,포테이토크림스프,,●,,,●,●,,,,,,,,,,●,,●,
SALADY & SANDWICH,SIDE,치킨토마토스튜,,,,,●,●,,,,,,,,,●,●,,,
SALADY & SANDWICH,PROTEIN,닭가슴살,,,,,,,,,,,,,,,,●,,,
SALADY & SANDWICH,PROTEIN,로스트닭다리살,,●,,,●,●,,,,,,,,,,●,,●,
SALADY & SANDWICH,PROTEIN,그라운드비프,,,,,●,,,,,,,,,,,,●,●,
SALADY & SANDWICH,PROTEIN,우삼겹,,,,,●,●,,,,,,,●,,,,,●,
SALADY & SANDWICH,PROTEIN,베이컨,,,,,●,,,,,,,,,,,,●,,
SALADY & SANDWICH,PROTEIN,로스트삼겹,,,,,●,,,,,,,,,,,,●,,
SALADY & SANDWICH,PROTEIN,케이준쉬림프,,,,,●,,,,,●,,,,,,,,●,
SALADY & SANDWICH,PROTEIN,에그,●,,,,,,,,,,,,,,,,,,
SALADY & SANDWICH,PROTEIN,두부,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,PROTEIN,잠봉슬라이스,,,,,,,,,,,,,,,,,●,,
SALADY & SANDWICH,PROTEIN,스크램블에그,●,●,,,●,,,,,,,,●,,,,,,
SALADY & SANDWICH,VEGGIES,머쉬룸,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,VEGGIES,토마토,,,,,,,,,,,,,,,●,,,,
SALADY & SANDWICH,VEGGIES,드라이토마토,,,,,,,,,,,,,,,●,,,,●
SALADY & SANDWICH,VEGGIES,당근라페,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,후리가케,,,,,●,●,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,견과류,,,,,,,,●,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,나쵸칩,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,양파플레이크,,,,,,●,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,슈레드치즈,,●,,,,,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,몬테레이치즈,,●,,,,,,,,,,,,,,,,,
SALADY & SANDWICH,CRISPY,김자반,,,,,●,,,,,,,,,,,,,,
SALADY & SANDWICH,SAUCE & MOUSSE,에그마요,●,,,,●,,,,,,,,●,,,,,,
SALADY & SANDWICH,SAUCE & MOUSSE,스윗포테이토,●,,,,●,●,,,,,,●,,,,,,,
SALADY & SANDWICH,SAUCE & MOUSSE,사워크림,,●,,,,,,,,,,,,,,,,●,
SALADY & SANDWICH,SAUCE & MOUSSE,바질페스토,,●,,,,,,,,,,,,,,,,,
SALADY & SANDWICH,SAUCE & MOUSSE,바베큐소스,,,,,●,●,,,,,,,,,,●,,●,
SALADY & SANDWICH,SAUCE & MOUSSE,화이트치즈소스,●,●,,,●,,,,,,,,,,,,,,
