적용범위,구분,메뉴명,제공량(g),열량(Kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),나트륨(mg)
SALADY,PROTEIN,두부,80,100.0,8.0,1.2,4.2,5.7,0.7,12.8
SALADY,PROTEIN,잠봉슬라이스,25,34.4,0.6,0.3,4.7,1.4,0.4,250.0
SALADY,PROTEIN,케이준쉬림프,60,36.9,0.1,0.1,8.3,0.6,0.0,332.5
SALADY,PROTEIN,스크램블에그,50,115.0,5.5,1.0,4.0,8.5,1.4,260.0
SALADY,VEGGIES,올리브,30,31.5,1.8,0.0,0.3,2.9,0.4,264.0
SALADY,VEGGIES,할라피뇨,40,6.7,1.3,0.0,0.0,0.0,0.0,293.2
SALADY,VEGGIES,머쉬룸,60,59.1,3.3,0.4,1.5,5.6,0.9,1.1
SALADY,VEGGIES,옥수수,30,19.5,3.6,2.1,0.6,0.3,0.0,78.0
SALADY,VEGGIES,양파,30,8.7,2.0,1.7,0.3,0.0,0.0,0.9
SALADY,VEGGIES,토마토,40,7.6,1.7,0.9,0.4,0.1,0.0,0.8
SALADY,VEGGIES,당근라페,40,27.7,4.1,3.7,0.5,1.1,0.2,44.1
SALADY,VEGGIES,적채,15,6.2,1.4,0.7,0.3,0.0,0.0,1.1
SALADY,CRISPY,후리가케,3,12.5,1.6,0.1,0.5,0.5,0.1,69.0
SALADY,CRISPY,견과류,15,90.7,4.9,0.5,2.5,6.8,0.6,0.3
SALADY,CRISPY,나쵸칩,15,75.0,9.2,0.0,1.1,3.8,0.3,34.5
SALADY,CRISPY,양파플레이크,10,55.1,5.5,1.1,0.4,3.5,1.7,5.0
SALADY,CRISPY,크랜베리,10,31.4,8.6,7.4,0.0,0.1,0.0,0.2
SALADY,CRISPY,슈레드치즈,20,65.0,0.0,0.0,5.0,4.3,3.0,85.0
SALADY,CRISPY,김자반,3,17.3,1.1,0.4,0.6,1.2,0.1,33.0
SALADY,SAUCE & MOUSSE,에그마요,50,122.5,2.5,0.0,4.5,10.5,2.1,140.0
SALADY,SAUCE & MOUSSE,스윗포테이토,70,126.0,17.5,9.1,1.4,5.6,1.0,98.0
SALADY,SAUCE & MOUSSE,단호박,70,58.6,12.5,7.0,0.7,0.4,0.1,0.1
SALADY,SAUCE & MOUSSE,사워크림,10,23.2,0.5,0.3,0.3,2.2,1.4,4.0
SALADY,SAUCE & MOUSSE,바질페스토,20,119.0,0.5,1.8,2.8,10.7,2.0,171.0
SALADY,SAUCE & MOUSSE,바베큐소스,10,24.6,5.5,2.8,0.3,0.2,0.0,151.2
SALADY,SAUCE & MOUSSE,화이트치즈소스,20,72.0,4.6,3.6,0.4,5.8,1.6,98.0
SALADY & SANDWICH (대상매장),BASE,채소볼,80,10.5,1.4,0.5,0.9,0.2,0.0,7.9
SALADY & SANDWICH (대상매장),BASE,포케볼,172,271.1,50.6,0.4,7.9,4.2,0.7,53.0
SALADY & SANDWICH (대상매장),BASE,메밀면볼,164,144.2,25.8,0.4,5.8,1.9,0.3,182.8
SALADY & SANDWICH (대상매장),BASE,파스타볼,164,157.7,28.0,0.4,5.2,2.8,0.3,6.3
SALADY & SANDWICH (대상매장),SALADY,탄단지샐러디,225,322.9,34.3,17.6,17.9,13.1,2.0,225.3
SALADY & SANDWICH (대상매장),SALADY,랜치콥샐러디,217,160.9,6.8,2.3,16.7,7.3,2.0,457.5
SALADY & SANDWICH (대상매장),SALADY,로스트닭다리살샐러디,290,326.6,34.7,14.4,13.8,14.8,4.8,569.8
SALADY & SANDWICH (대상매장),SALADY,그라브락스연어샐러디,235,247.3,7.8,5.1,21.0,14.4,2.7,505.0
SALADY & SANDWICH (대상매장),SALADY,타코쉬림프샐러디,230,192.1,11.6,2.9,15.7,9.2,3.0,572.6
SALADY & SANDWICH (대상매장),SALADY,프루티가든샐러디,180,215.9,26.0,16.5,4.0,10.8,1.3,141.4
SALADY & SANDWICH (대상매장),DAILY BOWL,칠리베이컨포케볼,297,485.2,61.7,4.5,18.7,18.0,5.9,268.1
SALADY & SANDWICH (대상매장),DAILY BOWL,그라브락스연어포케볼,302,461.3,62.5,4.4,22.0,14.0,3.1,577.1
SALADY & SANDWICH (대상매장),DAILY BOWL,노릇노릇두부포케볼,360,506.6,68.9,4.8,15.7,19.3,2.5,207.8
SALADY & SANDWICH (대상매장),DAILY BOWL,우삼겹포케볼,307,618.1,68.0,6.2,21.2,29.8,8.6,226.0
SALADY & SANDWICH (대상매장),DAILY BOWL,바베큐닭다리살포케볼,347,557.3,72.5,8.2,26.6,17.7,5.9,586.2
SALADY & SANDWICH (대상매장),DAILY BOWL,바베큐삼겹덮밥,381,832.1,98.9,11.5,26.1,37.0,8.3,877.1
SALADY & SANDWICH (대상매장),DAILY BOWL,로스트닭다리살마요덮밥,401,830.0,98.3,11.1,27.8,36.3,7.1,998.1
SALADY & SANDWICH (대상매장),DAILY BOWL,우삼겹메밀면누들볼,259,406.6,36.1,5.0,18.0,21.2,6.1,350.3
SALADY & SANDWICH (대상매장),DAILY BOWL,고소삼겹들기름파스타누들볼,296,445.3,42.8,2.8,16.0,24.0,5.9,369.0
SALADY & SANDWICH (대상매장),PROTEIN BOX,닭다리살MAX 프로틴박스,449,758.7,96.6,7.7,43.2,22.3,7.4,885.9
